timestamp,TypPS,oxygen,pm10,cnt0_5,co,temperature,performance,co2,measuretime,so2,no2,cnt5,pm1,cnt1,dewpt,tvoc,pressure,cnt10,dCO2dt,sound_max,health,temperature_o2,cnt2_5,o3,humidity,dHdt,humidity_abs,sound,pm2_5,cnt0_3,n_danger,event,location
2023-06-30 22:06:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:08:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-30 22:10:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Moderate,Moderate,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:12:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:14:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:16:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-30 22:18:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:20:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:22:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Excellent,Moderate,Moderate,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-30 22:24:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Good,Excellent,Excellent,Moderate,Moderate,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-30 22:26:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Good,Moderate,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:28:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Good,Moderate,Moderate,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:30:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:32:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-30 22:34:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,0.0,normal,apartment
2023-06-30 22:36:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Good,Excellent,Excellent,Good,Moderate,Good,Excellent,Excellent,Excellent,Moderate,Good,Good,Excellent,Excellent,0.0,normal,apartment
